,sa4_name,sa2_name,2025 pop no.
0,Central Coast,Avoca Beach - Copacabana,7578
1,Central Coast,Box Head - MacMasters Beach,11289
2,Central Coast,Calga - Kulnura,4678
3,Central Coast,Erina - Green Point,14644
4,Central Coast,Gosford - Springfield,23282
5,Central Coast,Kariong,6388
6,Central Coast,Kincumber - Picketts Valley,7634
7,Central Coast,Narara,7425
8,Central Coast,Niagara Park - Lisarow,8264
9,Central Coast,Point Clare - Koolewong,6697
10,Central Coast,Saratoga - Davistown,7432
11,Central Coast,Terrigal - North Avoca,15631
12,Central Coast,Umina - Booker Bay - Patonga,25057
13,Central Coast,Wamberal - Forresters Beach,10897
14,Central Coast,Woy Woy - Blackwall,14566
15,Central Coast,Wyoming,11329
16,Central Coast,Bateau Bay - Killarney Vale,23090
17,Central Coast,Blue Haven - San Remo,11723
18,Central Coast,Budgewoi - Buff Point - Halekulani,10066
19,Central Coast,Chittaway Bay - Tumbi Umbi,16559
20,Central Coast,Gorokan - Kanwal - Charmhaven,22880
21,Central Coast,Jilliby - Yarramalong,3627
22,Central Coast,Lake Munmorah - Mannering Park,11084
23,Central Coast,Ourimbah - Fountaindale,4934
24,Central Coast,Summerland Point - Gwandalan,7094
25,Central Coast,The Entrance,16336
26,Central Coast,Toukley - Norah Head,9908
27,Central Coast,Tuggerah - Kangy Angy,5360
28,Central Coast,Warnervale - Wadalba,23023
29,Central Coast,Wyong,9341
30,Sydney - Blacktown,Blacktown (East) - Kings Park,18408
31,Sydney - Blacktown,Blacktown (North) - Marayong,21468
32,Sydney - Blacktown,Doonside - Woodcroft,23958
33,Sydney - Blacktown,Lalor Park - Kings Langley,25958
34,Sydney - Blacktown,Blacktown - South,12845
35,Sydney - Blacktown,Blacktown - West,17931
36,Sydney - Blacktown,Seven Hills - Prospect,15220
37,Sydney - Blacktown,Toongabbie - West,12391
38,Sydney - Blacktown,Glenwood,15984
39,Sydney - Blacktown,Acacia Gardens,3735
40,Sydney - Blacktown,Quakers Hill,26132
41,Sydney - Blacktown,Kellyville Ridge - The Ponds,21774
42,Sydney - Blacktown,Marsden Park - Shanes Park,30461
43,Sydney - Blacktown,Riverstone,20068
44,Sydney - Blacktown,Schofields (West) - Colebee,14743
45,Sydney - Blacktown,Schofields - East,38569
46,Sydney - Blacktown,Stanhope Gardens - Parklea,13262
47,Sydney - Blacktown,Bidwill - Hebersham - Emerton,18979
48,Sydney - Blacktown,Glendenning - Dean Park,8317
49,Sydney - Blacktown,Hassall Grove - Plumpton,21657
50,Sydney - Blacktown,Lethbridge Park - Tregear,22894
51,Sydney - Blacktown,Mount Druitt - Whalan,24378
52,Sydney - Blacktown,Prospect Reservoir,16
53,Sydney - Blacktown,Rooty Hill - Minchinbury,23226
54,Sydney - Inner West,Concord - Mortlake - Cabarita,24026
55,Sydney - Inner West,Drummoyne - Rodd Point,19158
56,Sydney - Inner West,Five Dock - Abbotsford,21449
57,Sydney - Inner West,Concord West - North Strathfield,13453
58,Sydney - Inner West,Rhodes,13094
59,Sydney - Inner West,Balmain,16124
60,Sydney - Inner West,Lilyfield - Rozelle,14218
61,Sydney - Inner West,Annandale (NSW),10004
62,Sydney - Inner West,Leichhardt,18357
63,Sydney - Inner West,Canterbury (North) - Ashbury,12633
64,Sydney - Inner West,Croydon Park - Enfield,18270
65,Sydney - Inner West,Dulwich Hill - Lewisham,18826
66,Sydney - Inner West,Haberfield - Summer Hill,14061
67,Sydney - Inner West,Homebush,23511
68,Sydney - Inner West,Strathfield South,3727
69,Sydney - Inner West,Ashfield - North,12626
70,Sydney - Inner West,Ashfield - South,13056
71,Sydney - Inner West,Burwood (NSW),18684
72,Sydney - Inner West,Croydon,11360
73,Sydney - Inner West,Strathfield - East,18724
74,Sydney - Inner West,Strathfield - West,8936
75,Sydney - Ryde,Pennant Hills - Cheltenham,22248
76,Sydney - Ryde,Epping (East) - North Epping,15733
77,Sydney - Ryde,Epping (NSW) - West,19790
78,Sydney - Ryde,Gladesville - Huntleys Point,16256
79,Sydney - Ryde,Hunters Hill - Woolwich,10034
80,Sydney - Ryde,Macquarie Park - Marsfield,28886
81,Sydney - Ryde,North Ryde - East Ryde,16577
82,Sydney - Ryde,West Ryde - Meadowbank,22183
83,Sydney - Ryde,Putney,4198
84,Sydney - Ryde,Denistone,7196
85,Sydney - Ryde,Eastwood,20278
86,Sydney - Ryde,Ryde - North,21909
87,Sydney - Ryde,Ryde - South,13318
